"id","code","aerodrome_id/id","length","length_uom_id/id","width","width_uom_id/id"
"runway_KSLI_22R","22R","aerodrome_KSLI","1798.32","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLI_04R","04R","aerodrome_KSLI","2438.4","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSLI_22L","22L","aerodrome_KSLI","2438.4","uom.product_uom_meter","60.96","uom.product_uom_meter"
"runway_KSLK_05","05","aerodrome_KSLK","2003.45","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLK_23","23","aerodrome_KSLK","2003.45","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSLK_09","09","aerodrome_KSLK","1218.59","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSLK_27","27","aerodrome_KSLK","1218.59","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSLN_04","04","aerodrome_KSLN","1111.91","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLN_22","22","aerodrome_KSLN","1111.91","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSLN_12","12","aerodrome_KSLN","1984.25","uom.product_uom_meter","30.48","uom.product_uom_meter"
